,Rear,Base,Mid,Tip
119,0.0052,0.0051,0.0057,0.0073
120,0.0054,0.0054,0.0064,0.0071
121,0.0058,0.0057,0.0063,0.0072
122,0.0054,0.0055,0.007,0.0083
123,0.0054,0.0052,0.0058,0.0063
124,0.005,0.0048,0.005,0.0063
125,0.0052,0.0052,0.0057,0.0061
126,0.0054,0.0054,0.0061,0.0069
127,0.0053,0.0053,0.0061,0.0071
128,0.0053,0.0053,0.006,0.0069
129,0.0061,0.0062,0.0068,0.0078
130,0.0055,0.0055,0.0056,0.0052
131,0.0054,0.0054,0.0062,0.007
132,0.0053,0.0052,0.0058,0.0068
133,0.0047,0.0042,0.0051,0.0051
134,0.0053,0.0052,0.0062,0.0053
135,0.0055,0.0054,0.0056,0.007
136,0.0057,0.0058,0.0068,0.0073
137,0.0052,0.0051,0.0063,0.0075
138,0.0057,0.0056,0.0066,0.0062
139,0.0053,0.0051,0.006,0.0067
140,0.0058,0.0055,0.006,0.0073
141,0.005,0.0049,0.0056,0.0064
142,0.0068,0.0065,0.0059,0.0066
143,0.0053,0.0052,0.0055,0.0056
144,0.0054,0.0055,0.0067,0.0073
145,0.0057,0.0055,0.006,0.0066
146,0.0056,0.0056,0.0061,0.0073
147,0.0051,0.0049,0.0056,0.0058
148,0.005,0.0047,0.0052,0.0065
149,0.0053,0.0052,0.0059,0.0058
150,0.0055,0.0054,0.0061,0.0072
151,0.0056,0.0055,0.0067,0.0079
152,0.0059,0.0059,0.0065,0.0075
153,0.0058,0.0061,0.0067,0.0081
154,0.0062,0.006,0.0064,0.0066
155,0.0055,0.0055,0.0056,0.0055
156,0.0089,0.0085,0.0064,0.0056
157,0.0061,0.006,0.0063,0.0064
158,0.0055,0.0055,0.0057,0.0055
159,0.005,0.0048,0.0047,0.0058
160,0.0051,0.0048,0.0051,0.0063
161,0.0051,0.005,0.0052,0.0058
162,0.0053,0.0053,0.0058,0.0065
163,0.0046,0.0042,0.0049,0.0041
164,0.0063,0.0066,0.0074,0.006
165,0.0059,0.006,0.0068,0.0052
166,0.0056,0.0055,0.006,0.0066
167,0.0093,0.0087,0.0062,0.0062
168,0.0065,0.0064,0.006,0.0061
169,0.0058,0.006,0.0068,0.0073
170,0.0052,0.0051,0.0055,0.0045
171,0.0068,0.0063,0.0044,0.0041
172,0.0062,0.0061,0.0061,0.0063
173,0.006,0.006,0.0071,0.0089
174,0.0058,0.0059,0.0063,0.0069
175,0.0052,0.0049,0.005,0.0061
176,0.0055,0.0054,0.0054,0.0058
177,0.0066,0.0066,0.0074,0.0086
178,0.006,0.006,0.0063,0.0074
179,0.0058,0.0057,0.0059,0.0058
180,0.0054,0.0052,0.0059,0.0059
181,0.0048,0.0044,0.005,0.0039
182,0.0047,0.0043,0.005,0.0049
183,0.0051,0.0052,0.0034,0.0038
184,0.0081,0.0078,0.007,0.006
185,0.0053,0.0052,0.0053,0.0065
186,0.0077,0.0072,0.0045,0.0043
187,0.0063,0.0063,0.0067,0.006
188,0.0062,0.0064,0.0065,0.0043
189,0.0055,0.0054,0.0063,0.0079
190,0.0048,0.0045,0.0048,0.0036
191,0.0053,0.0053,0.0054,0.006
192,0.0057,0.0057,0.0059,0.0062
193,0.0051,0.0049,0.0053,0.0064
194,0.0053,0.0052,0.0056,0.0064
195,0.0059,0.0059,0.0075,0.0088
196,0.0057,0.0057,0.0056,0.0061
197,0.006,0.0061,0.007,0.0075
198,0.0059,0.006,0.0068,0.0078
199,0.0058,0.0058,0.0065,0.0067
200,0.0055,0.0054,0.0062,0.0061
201,0.0056,0.0054,0.0055,0.0069
202,0.0064,0.0065,0.0034,0.0052
203,0.0058,0.0057,0.0059,0.0053
204,0.0063,0.0063,0.0066,0.0071
205,0.0061,0.0062,0.007,0.007
206,0.0058,0.0059,0.0066,0.0071
207,0.0055,0.0054,0.0063,0.0068
208,0.0063,0.0065,0.0069,0.0078
209,0.0051,0.005,0.0054,0.0057
210,0.0056,0.0057,0.0069,0.0079
211,0.0055,0.0055,0.0062,0.0067
212,0.0051,0.005,0.0052,0.0057
213,0.0056,0.0056,0.0062,0.0068
214,0.0059,0.0058,0.0045,0.005
215,0.0059,0.0058,0.006,0.0066
216,0.0059,0.0062,0.0067,0.0078
217,0.0052,0.0051,0.0053,0.0064
218,0.0054,0.0054,0.0034,0.0055
219,0.006,0.0059,0.0064,0.0075
220,0.0059,0.006,0.0041,0.0057
221,0.0058,0.006,0.0068,0.0069
222,0.0063,0.0063,0.0066,0.0074
223,0.0058,0.0058,0.0074,0.0073
224,0.0046,0.0045,0.0046,0.0045
225,0.0052,0.0049,0.0058,0.007
226,0.0059,0.0059,0.0067,0.0077
227,0.0061,0.0063,0.0066,0.0043
228,0.0054,0.0053,0.0055,0.0049
229,0.0056,0.0054,0.006,0.0079
230,0.0054,0.0053,0.0058,0.0069
231,0.0052,0.005,0.0056,0.0055
232,0.0053,0.0053,0.0068,0.0084
233,0.0056,0.0056,0.0062,0.0072
234,0.005,0.0048,0.0053,0.0046
235,0.0055,0.0055,0.0068,0.008
236,0.0061,0.006,0.0061,0.0064
237,0.0057,0.0054,0.0054,0.0061
238,0.0063,0.0063,0.0062,0.0061
239,0.0055,0.0056,0.0063,0.0065
240,0.0048,0.0043,0.0048,0.006
241,0.0052,0.0051,0.0059,0.0068
242,0.0054,0.0053,0.006,0.0059
243,0.0054,0.0053,0.0059,0.0067
244,0.0054,0.0053,0.0058,0.0062
245,0.0059,0.0062,0.0067,0.007
246,0.0053,0.0052,0.0056,0.0054
247,0.0051,0.0048,0.0053,0.0058
248,0.0054,0.0054,0.0054,0.0065
249,0.0056,0.0055,0.006,0.0072
250,0.0055,0.0055,0.0062,0.0069
251,0.005,0.0049,0.0052,0.0063
252,0.0052,0.0049,0.0062,0.0065
253,0.0055,0.0054,0.0061,0.007
254,0.0048,0.0046,0.0049,0.0048
255,0.0051,0.0049,0.0054,0.005
256,0.0051,0.0049,0.0053,0.0054
257,0.0057,0.0057,0.0059,0.0059
258,0.0046,0.0045,0.0045,0.005
259,0.0056,0.0054,0.0057,0.0069
260,0.0054,0.0053,0.0058,0.0062
261,0.0057,0.0057,0.0061,0.0059
262,0.0052,0.005,0.0055,0.0052
263,0.0053,0.0051,0.0056,0.0057
264,0.0053,0.0051,0.0053,0.0061
265,0.0054,0.0053,0.006,0.0068
266,0.0054,0.0053,0.0059,0.0048
267,0.0056,0.0054,0.005,0.0056
268,0.0056,0.0055,0.0061,0.0052
269,0.007,0.0067,0.0058,0.0064
270,0.0052,0.0051,0.0052,0.006
271,0.0049,0.0047,0.0042,0.0043
272,0.0053,0.0051,0.005,0.0058
273,0.0053,0.0051,0.0061,0.0065
274,0.0058,0.0058,0.0063,0.0065
275,0.0052,0.005,0.0055,0.0072
276,0.0056,0.0055,0.0054,0.0052
277,0.0062,0.0062,0.0069,0.0066
278,0.0054,0.0052,0.0055,0.0067
279,0.0049,0.0048,0.0051,0.006
280,0.0059,0.0059,0.0069,0.0076
